Автор;Цитата;Ссылка
Брюс Ли;Знаний не достаточно, ты должен применять их. Желания не достаточно, ты должен делать. ;http://forismatic.com/ru/a99ff51572/
Авраам Линкольн;Большинство людей счастливы настолько, насколько они решили быть счастливыми. ;http://forismatic.com/ru/549a2f1591/
Клэр Люс;Дом мужчины — его крепость, но только снаружи. Внутри это чаще всего детская комната. ;http://forismatic.com/ru/3506f31198/
Бернард Мелцер;Счастье — как поцелуй: чтобы насладиться им, его нужно с кем-то разделить.;http://forismatic.com/ru/fa1bf71536/
О. Мередит;Хорошее настроение — это доброта и мудрость вместе. ;http://forismatic.com/ru/45f2026aec/
Чак Норрис;Мастер жизни не пытается изменить положение вещей, противопоставляя себя им. ;http://forismatic.com/ru/cb55a6945f/
Чак Норрис;Настоящие уроки боевых искусств — не в ударах, а в хладнокровной уверенности в себе на основе знания, кто ты есть, чего хочешь добиться и как именно ты это сделаешь.;http://forismatic.com/ru/c2c41c58a6/
Амос Бронсон Олкотт;Мы добираемся до вершин чаще всего по обломкам наших заветных замыслов, обнаруживая, что успех нам принесли именно наши неудачи.;http://forismatic.com/ru/141cec1d21/
Блез Паскаль;Существует достаточно света для тех, кто хочет видеть, и достаточно мрака для тех, кто не хочет.;http://forismatic.com/ru/7277be8a05/
Пифагор;Делай великое, не обещая великого. ;http://forismatic.com/ru/6ff805e44b/
Рамакришна;Как свеча не может гореть без огня, так человек не может жить без духовной силы. Дух живет во всех людях, но не все люди знают это.;http://forismatic.com/ru/7ae335250e/
Эрих Мария Ремарк;Пока человек не сдаётся, он сильнее своей судьбы.;http://forismatic.com/ru/543c02ebb1/
Дени де Ружмон;Речь идет не о том, чтобы предвидеть будущее, а о том, чтобы творить его.;http://forismatic.com/ru/b5ee88a305/
Франклин Делано Рузвельт;Един­ственным препятствием осуществлению на­ших планов на завтра могут быть наши сего­дняшние сомнения.;http://forismatic.com/ru/d60d626220/
Жорж Санд;Не говори ничего дурного о ком-либо, если точно не знаешь этого, а если знаешь, то спроси себя: почему я это говорю? ;http://forismatic.com/ru/4d73336344/
Сенека;Никогда не будет счастлив тот, кого мучает вид большего счастья. ;http://forismatic.com/ru/ee2274cb24/
Антуан де Сент-Экзюпери;Вот тебе ящик. А в нем сидит такой барашек, какого тебе хочется.;http://forismatic.com/ru/6b3801a7e6/
Антуан де Сент-Экзюпери;Люди выращивают в одном саду пять тысяч роз... и не находят того, что ищут. ;http://forismatic.com/ru/cc617e3f8a/
Ангелус Силезиус;Для того, чтобы увидать истинный свет, каков он есть, надо самому стать истинным светом.;http://forismatic.com/ru/3398439306/
Публий Сир;Всегда побеждает тот, кто действует лаской. ;http://forismatic.com/ru/455469459d/
Бенедикт Спиноза;Если вы хотите, чтобы жизнь вам улыбалась, подарите ей сначала хорошее настроение. ;http://forismatic.com/ru/e04a7e16a6/
Роберт Льюис Стивенсон;Если ваши нравственные устои вгоняют вас в тоску, знайте: ваши нравственные устои никуда не годятся.;http://forismatic.com/ru/9cfc2b9145/
Марк Твен;Не расставайтесь со своими иллюзиями. Когда их не станет, может быть, вы и продолжите существовать, но перестанете жить. ;http://forismatic.com/ru/6a89c3ef98/
Лев Толстой;Надо быть всегда радостным. Если радость кончается, ищи, в чем ошибся.;http://forismatic.com/ru/08e21746a6/
Лев Толстой;Если ты сомневаешься в своей вере, это уже не вера.Вера только тогда вера, когда у тебя и мысли нет о том, чтобы то, во что ты веришь, могло бы быть неправда;http://forismatic.com/ru/7ed4088cdf/
Лев Толстой;Когда мы узнаем новую мысль и признаем ее верною, нам кажется, что мы уже давно знали ее и теперь только вспомнили то, что знали. Всякая истина уже лежит в душе всякого человека. Только не заглушай ее ложью, и рано или поздно она откроется тебе.;http://forismatic.com/ru/d4d165ba1f/
Лев Толстой;Как только почувствуешь страсть, похоть, страх, злобу, вспомни, кто ты: вспомни, что ты не тело, а душа, и тотчас же затихнет то, что взволновало тебя.;http://forismatic.com/ru/d638f10e47/
Лев Толстой;Если тебе кажется, что кто-нибудь виноват перед тобой, — забудь это и прости. И ты узнаешь счастье прощать. Ничто так не радует людей, как то, когда их прощают за их зло и платят добром за зло, и ничто так не радостно тому, кто это делает.;http://forismatic.com/ru/e6e02c44d1/
Лев Толстой;Счастлив тот, кто счастлив у себя дома. ;http://forismatic.com/ru/2a60bfb2a5/
Лев Толстой;"Глубокая река не возмутится от того, что в нее бросить камень; так же и человек. Если человек возмущается от оскорблений, то он не река, а лужа.";http://forismatic.com/ru/8c46d67017/
Лев Толстой;Если доброе дело делается для чего-нибудь, то оно уже не доброе дело. По-настоящему любишь только тогда, когда не знаешь, зачем и для чего.;http://forismatic.com/ru/5f885b4284/
Торо;Я предвижу, что, если мои потребности увеличатся, труд, необходимый для их удовлетворения, превратится в тяжелую и нудную работу.;http://forismatic.com/ru/528bfc6694/
Брайан Трейси;Ваше внимание — это ваша жизнь. Куда бы ни устремлялось ваше внимание, туда же следуют ваши мысли, чувства и вся ваша жизнь.;http://forismatic.com/ru/ff55b0c995/
Нил Доналд Уолш;Пока ты тревожишься о том, что подумают другие, ты остаешься в их власти. Хозяином себе ты станешь лишь после того, как лишишься потребности в одобрении окружающих.;http://forismatic.com/ru/ab3bfd86e2/
